Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
AW4CmuaaDpbEtK5j22zktXXAQWEQcA2vyW5AbdfUM49LcVMXyvnRCmFN1Aanc9mfrrGD4ZJggdJWGxMpPu6eMWN,1773576785,2026-03-15T12:13:05.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,AyDckfGm7UTHahA3XAegZNV9t24v6oR6fEEB5gFcTPnh,16929566098031,6,So11111111111111111111111111111111111111112,1077270213,9,95.14,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
2CkmMB5FaZfQnQ1Xi1BgLELBkXPodQra2yi5eagAsCbo9Wtj9f3j7P1xUALfS3iSBH1spCDZfThRHaxKDcSbU6MU,1773576500,2026-03-15T12:08:20.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,1000000000,9,AyDckfGm7UTHahA3XAegZNV9t24v6oR6fEEB5gFcTPnh,16929566098031,6,88.42,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
2xnbbKTpjjBoLvxDqkugfy9jEFJtK2K68WfbdRL1W12ig6PwG917zhSj3ZtFfa9UAVhiYEZjH3XcHixNqkPW4qeR,1773576477,2026-03-15T12:07:57.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,9MpkJiqqu1UtUAd1TXGo9zkXvd3rG6U591HxvAYZpump,18607828210227,6,So11111111111111111111111111111111111111112,967751309,9,85.57,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
2zExP2z3Z2WYYynyR6FZYyVWVB9XfrmU5BoNmFzpmvavo1MrHa9Cd7URJLFjqW5zq6Cy6adoDi3kbyNmi6RFkP3h,1773576460,2026-03-15T12:07:40.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111111,1000000000,9,8jt8JpH1UojSgVdoTGRaLYZgn3JpE7hTQ6PYR1VvpMJR,34175868149952,6,88.42,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
61gGDshvJUQsPpFbs87dnhgyL9w6CKkQL8PVK9q2kat8CRKMvGZGHM6ustRqwktV2PA26yJ9AnWJ3yFQsrMgjGYc,1773576296,2026-03-15T12:04:56.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,3SBcWZJSuceD1uYBLahi5oU2vfDuUYCmfrnVR2q4BAGS,27784776199158730,9,So11111111111111111111111111111111111111112,911379048,9,80.71,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
3dWA5kMXqbN49qecb857Y8wCGGXsHj4BrpzLZNrcHpuLz4DYDCLDHFVu3XBgoy3Gs8FHRYHtKgKZyCFactLWCFQq,1773576288,2026-03-15T12:04:48.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,7g2fmCWYHiWyrhuMycSo6KXyJw8cRav2thoqSSq3pump,28574010898111,6,So11111111111111111111111111111111111111111,1047390578,9,92.76,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
yXtYtyKwDmSWf8PF8svfcaDfAMj66haoucXTRrg92Lm6HCAark3aPLeHX2gWC44fCkAAMWBk4A3aWQjDvWgnQNx,1773576250,2026-03-15T12:04:10.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111111,1000000000,9,7g2fmCWYHiWyrhuMycSo6KXyJw8cRav2thoqSSq3pump,28574010898111,6,88.56,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
3AdPVBjSaFh41V6B1JwVaSUXgAQDETtGWUaSBr63CM11X7sS72F1hyrkJLB7PNLb7pXAbLpyxyZ65bGqYWvAJmfg,1773576092,2026-03-15T12:01:32.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,3G4SdvxcxkqPnPxfTdMMhFMjZGFKSLiDyuZBGVxHpump,29656158020222,6,So11111111111111111111111111111111111111111,1565449816,9,138.63,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
3nBrdwYtDoFvaoe2EVqLqqThjRf3eLHAt8B8xwGjMnBh1GoZoQwz7Jdi6gjqshLzvZUcwv7Jx3oik4A4wv9ukMzQ,1773575877,2026-03-15T11:57:57.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111112,1000000000,9,3SBcWZJSuceD1uYBLahi5oU2vfDuUYCmfrnVR2q4BAGS,27784776199158730,9,88.59,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN||,1.0,1.0
2Aou52iapvphfJCtmvw3HUXmWHtt9N33gvwite6sfqJdgThstaK1gRXMBdjpb7FySkUDJLkLACfnvGDxUv9WcEKM,1773575648,2026-03-15T11:54:08.000Z,ACTIVITY_TOKEN_SWAP,5PvBRrFPvFPiMtphrmvrbL7uDzPZZRxWPLmVrySksoU1,So11111111111111111111111111111111111111111,500000000,9,3G4SdvxcxkqPnPxfTdMMhFMjZGFKSLiDyuZBGVxHpump,9436625068100,6,44.29,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
