Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Platforms,Sources,Token1Multiplier,Token2Multiplier
2P3VJ8hskZzKueEwJTK2i8sLVuJt753pumxkYGZw3j9UW6RChRnrLE9SZNuMNw3XvaeouJpFNtFpPhzGDvAKnGXJ,1773577421,2026-03-15T12:23:41.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,AyDckfGm7UTHahA3XAegZNV9t24v6oR6fEEB5gFcTPnh,11437294308832,6,So11111111111111111111111111111111111111112,697972061,9,61.65,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
2EZgr8rQBmwLxZUWSgHRVageseVXMtYD485N2ZgM5Xdtohwv4oGRNgwrLBwwHM9qWZgCCQDjdHE4EqX5KD2BoEpQ,1773576776,2026-03-15T12:12:56.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,AyDckfGm7UTHahA3XAegZNV9t24v6oR6fEEB5gFcTPnh,11437294308832,6,So11111111111111111111111111111111111111112,904909132,9,79.92,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
GLqKNpNzMmj9oKggj8DEDSjBUAVrrXbTEZmDSMkzvszmcYoHaoYxB9jTxsfXGwhq4f3Jakrpd2mq2sk1mLsHGR4,1773576276,2026-03-15T12:04:36.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,999100000,9,AyDckfGm7UTHahA3XAegZNV9t24v6oR6fEEB5gFcTPnh,22874588617664,6,88.48,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
97kz3a3a3QZyYhdo5XtLsm2HDW85PoY8m5wUtj7fuARnQZxsPRuN1udkygUJjb4Ecra6fJEvr4MWa3FaBg771sB,1773576043,2026-03-15T12:00:43.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111111,999999999,9,4sh8jJiCTVUHwMCMbJapB3NtEzbSR9waq4k1RVijSB5N,34106980290172,6,88.56,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb||6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,1.0,1.0
4U4MwFpR8TRYUHZ3DSH8fj1rpD1Ca3R15DjvYQS2XnUKUJGLXYPYgWpQ9PUKNysLqvxG2CCEPJybfxLs5SBiZEzx,1773575726,2026-03-15T11:55:26.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111111,999999999,9,AhadmazXHsrFYZNDSgxcmDbUeQYjPFESujx6zhjMPpGc,29886259542996,6,88.57,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb,GMgnVFR8Jb39LoXsEVzb3DvBy3ywCmdmJquHUy1Lrkqb||6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,1.0,1.0
3SbUsrqceC9CrTaQcQA1gvEGsi63xNQtf3XYKeLqJEqWcn83Ckz7mADfgqTTBK7SShh18cJLjzy2MjafDj7YFWjP,1773575086,2026-03-15T11:44:46.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,9rkfea69PsdaJzG7Ms2DKuqRpLU2ySbckwhbAhQzpump,32489459852003,6,So11111111111111111111111111111111111111112,974438529,9,86.05,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4||pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,1.0,1.0
5X2EwCRQBGMDnPCdMapwbx8Mp8AssxCiXavADBncjjcY9vB8wZgt1QPStSBsF2U6VfXqhyEF24a9dD6BP2jhVxTG,1773571832,2026-03-15T10:50:32.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,999100000,9,ApLJtDFLscoocY1Qjt3c3bRmxjw3F9hii4JVUbH63E14,30762209161351,6,88.47,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA||,1.0,1.0
4LB5VyPr6orsRNU76mFmroU6CiNZ3n883MiDotRPaQ4qCSk83JiDyLCPTnEA6yop8QFJFwfyz4hp2m5wYoiqFuq2,1773571374,2026-03-15T10:42:54.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,1000000000,9,EUs7wwR8iR1TeuS7y6ze8apr7JRbHZWRVnhpdg9aRoJt,42636363482060,6,88.52,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8||,1.0,1.0
4JRJddLRFGeTLNJPQJK34VWPbhtz6uwBebZ9Jdi2dyozGMuXFQCoSYeNAY7ZQuxCtSDGsB4L5L8EU1YYV82B6NZL,1773571256,2026-03-15T10:40:56.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111112,2000000000,9,Ahui5nrpXhZ39qdfX6kTJsSsfaRDHGSfZqMnH6nc9FVg,10875671847965,9,177.03,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8||,1.0,1.0
53s9f6bRBfKJSuSUyKkBB2WXiytkueByDD2FuiJmtTvw8TtVvDeDsiXws5WpvCc9fecE1xqDsPMcGJGcLVLMvLR5,1773565475,2026-03-15T09:04:35.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111111,999999999,9,EGHnH4YGCowTij8kQ81YbcXSPAcURoLH151VrWefVoA6,34297586618360,6,88.59,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
YNpNYaLXjSLBvUpHyibkoip3M7uZrisCdrrKcDLUiBkkEYQV7dWB66The2eA6uGcYTbDVs3bq9t76NwiQ3DBWve,1773565470,2026-03-15T09:04:30.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,EGHnH4YGCowTij8kQ81YbcXSPAcURoLH151VrWefVoA6,34297586620574,6,So11111111111111111111111111111111111111111,1016510355,9,90.05,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
a2BKhStHH81ihGNFk1NF8DeLYZoDijNfcDhivcYtaN1gM7phBbBdBDJLBKPq2szFVxywX36cAFyNjrHB71xKYJP,1773565396,2026-03-15T09:03:16.000Z,ACTIVITY_TOKEN_SWAP,DGma4Uxm9JS6yLNdgYaxsZhwk2nxrRGMfMt5buXbiFCm,So11111111111111111111111111111111111111111,999999999,9,EGHnH4YGCowTij8kQ81YbcXSPAcURoLH151VrWefVoA6,34297586620574,6,88.59,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P||,1.0,1.0
